,tokens,class
1946,"['também', 'o', 'barreiro', 'terá', 'uma', 'candidatura', 'do', 'pnr', 'rpsantos1970', 'httpstcoqgsfthjw1x', 'barreiro', 'portugal', 'httpstco7labeytfiz']",-1
1947,"['bora', 'chuva', 'de', 'deslike', 'esse', 'lixo', 'era', 'assaltante', 'cantou', 'uma', 'música', 'no', 'camburão', 'e', 'ficou', 'famoso', 'país', 'lixo', 'httpstcodadidw6e60']",-1
1948,"['o', 'racismo', 'da', 'esquerda', 'passando', 'na', 'sua', 'tl', 'esse', 'pode', 'esse', 'é', 'politicamente', 'correto', 'aí', 'não', 'tem', 'protestos', 'imagina', 'se', 'httpstcoyh5ebhein2']",-1
1949,"['rt', 'pintomondim', 'a', 'psp', 'interceptou', 'o', 'q', 'julgavam', 'ser', 'um', 'automóvel', 'sem', 'condutor', 'em', 'excesso', 'de', 'velocidadeapurouse', 'mais', 'tarde', 'q', 'ao', 'volante', 'ia']",-1
1950,"['rt', 'carneiroandre', 'nunca', 'como', 'agora', 'a', 'produção', 'literária', 'nacional', 'esteve', 'tão', 'activa', 'yronicamente', 'httpstcozcy0omi1su']",-1
1951,"['guerra', 'legal', 'notadamente', 'em', 'toda', 'opinião', 'o', 'painel', 'não', 'se', 'preocupou', 'em', 'citar', 'este', 'o', 'estatuto', 'uma', 'decisão', 'des', 'httpstconvnk4kj2pf']",-1
1952,"['o', 'falido', 'nytimes', 'cria', 'grande', 'notícia', 'falsa', 'sobre', 'a', 'china', 'dizendo', 'sr', 'xi', 'não', 'falou', 'com', 'sr', 'trump', 'desde', 'nov', '14', 'httpstcoibhobjrlsr']",-1
1953,"['começa', 'pelo', 'seu', 'namorado', 'badgalerica', 'httpstcoyxamlnkohm']",-1
1954,"['decididamente', 'o', 'marques', 'mendes', 'está', 'a', 'perder', 'qualidades', 'já', 'nem', 'a', 'presença', 'dos', 'radares', 'da', 'psp', 'consegue', 'adivinhar', 'sad']",-1
1955,"['feministas', 'ou', 'sindicatos', 'vão', 'lá', 'protestar', 'httpstcons1bcccmyo']",-1
1956,"['antoniocostapm', 'então', 'viva', 'o', 'pnr', 'certo', 'sr', 'primeiro', 'ministro']",-1
1957,"['após', '10', 'anos', 'de', 'ivg', 'interrupção', 'voluntária', 'da', 'gravidez', 'os', 'números', 'de', 'abortos', 'diminuíram', 'e', 'o', 'índice', 'de', 'httpstcoeh8jtfefyg']",-1
1958,"['depois', 'de', 'vender', 'produtos', 'ilegais', 'o', 'dia', 'todo', 'no', 'centro', 'do', 'rio', 'camelôzada', 'se', 'reúne', 'pra', 'queimar', 'um', 'no', 'meio', 'da', 'rua', 'httpstcogtu7cntgba']",-1
1959,"['sei', 'que', 'posso', 'dar', 'mais', 'disse', 'carrillo', 'numa', 'noite', 'fria']",-1
1960,"['a', 'caminho', 'da', 'base', 'militar', 'andrews', 'com', 'o', 'primeiro', 'ministro', 'shinzo', 'hoje', 'mais', 'cedo', 'httpstco0yaun4dmkj']",-1
1961,"['o', 'jornalismo', 'é', 'um', 'poder', 'censório', 'manipulador', 'tendencioso', 'e', 'tantas', 'vezes', 'mentiroso', 'afinal', 'em', 'que', 'mundo', 'vive', 'a', 'httpstconth0vr1qle']",-1
1962,"['expresso', 'henriqumonteiro', 'explicado', 'diria', 'antes', 'deturpado', 'e', 'diabolizado', 'como', 'qualquer', 'um', 'que', 'se', 'insurja', 'contra', 'o', 'sistema', 'é', 'odiado']",-1
1963,"['a', 'europa', 'muito', 'doente', 'e', 'submissa', 'a', 'estes', 'espectáculos', 'de', 'mariquice', 'nojenta', 'claro', 'que', 'se', 'torna', 'presa', 'fácil', 'do', 'islã', 'httpstcobiaymmeln1']",4.2.2
1964,"['o', 'gduvivier', 'quer', 'o', 'fim', 'da', 'pm', 'usando', 'a', 'mesma', 'para', 'a', 'sua', 'segurança', 'nessas', 'horas', 'a', 'fascista', 'vira', 'heroína']",-1
1965,"['rt', 'jdf', 'hoje', 'o', 'talho', 'do', 'mota', 'não', 'só', 'não', 'é', 'vandalizado', 'como', 'ainda', 'lá', 'vai', 'encontrar', 'um', 'porco', 'e', 'dois', 'presuntos', 'embrulhados', 'em', 'papel', 'azul', 'e']",-1
1966,"['parece', 'que', 'o', 'papa', 'vai', 'estar', 'menos', 'tempo', 'em', 'portugal', 'do', 'que', 'o', 'porto', 'esteve', 'em', 'primeiro', 'lugar']",-1
1967,"['sistema', 'legal', 'falido', '77', 'dos', 'refugiados', 'que', 'entraram', 'nos', 'eua', 'desde', 'o', 'adiamento', 'do', 'veto', 'são', 'de', '7', 'países', 'suspeitos', 'httpstconvsy7bwfc5']",-1
1968,"['estou', 'lendo', 'que', 'o', 'preço', 'do', 'grande', 'muro', 'na', 'fronteira', 'custará', 'mais', 'do', 'que', 'o', 'governo', 'esperava', 'inicialmente', 'mas', 'eu', 'ain', 'httpstcoezwomnq7um']",-1
1969,"['negociações', 'ou', 'design', 'quando', 'eu', 'me', 'envolver', 'como', 'no', 'f35', 'fighterjet', 'ou', 'no', 'programa', 'do', 'air', 'force', 'one', 'o', 'preço', 'v', 'httpstcomopocgwiyh']",-1
1970,"['melania', 'e', 'eu', 'estamos', 'recebendo', 'o', 'primeiro', 'ministro', 'japonês', 'shinzo', 'abe', 'e', 'a', 'sra', 'abe', 'em', 'maralago', 'em', 'palm', 'beach', 'fl', 'httpstcoppk8m2uur3']",-1
1971,"['o', 'gduvivier', 'adora', 'passar', 'uma', 'vergonha', 'httpstcovl6fv63jbd']",-1
1972,"['me', 'divertindo', 'muito', 'enquanto', 'hospedo', 'o', 'primeiro', 'ministro', 'shinzo', 'abe', 'nos', 'estados', 'unidos', 'httpstco7yfrnjbaqu', 'httpstcoywl0c0y3hu']",-1
1973,"['peeps', 'da', 'covilhã', 'o', 'anfiteatro', 'da', 'parada', 'na', 'ubi', 'já', 'está', 'pronto', 'faltam', 'vocês', 'a', 'poucavergonha', 'começa', 'às', '22h00', 'bil', 'httpstcozstht9qcrp']",-1
1974,"['estou', 'tão', 'orgulhoso', 'da', 'minha', 'filha', 'ivanka', 'abusada', 'e', 'maltratada', 'pela', 'mídia', 'e', 'ainda', 'mantém', 'a', 'cabeça', 'tão', 'erguida', 'ver', 'httpstcorltzlmmxc7']",-1
1975,"['joguei', 'golf', 'hoje', 'com', 'o', 'primeiro', 'ministro', 'do', 'japão', 'abe', 'thebigeasy', 'e', 'ernie', 'els', 'me', 'diverti', 'muito', 'o', 'japão', 'está', 'mu', 'httpstcolt02rvmlqu']",-1
1976,"['jantar', 'de', 'negócios', 'a', 'noite', 'com', 'o', 'primeiro', 'ministro', 'do', 'japão', 'abe', 'e', 'seus', 'representantes', 'na', 'casa', 'branca', 'de', 'inverno', 'ma', 'httpstcom9r9tl469m']",-1
1977,"['rt', 'rpsantos1970', 'ontem', 'tivemos', 'mais', 'uma', 'reunião', 'do', 'conselho', 'nacional', 'do', 'pnr', 'portugal', 'política', 'rogériosantos', 'renovarportugal', 'httpst']",-1
1978,"['ao', 'vivo', 'declaração', 'conjunta', 'do', 'presidente', 'trump', 'e', 'primeiro', 'ministro', 'shinzo', 'abe', 'httpstcoo6bhxpb9ww', 'httpstcolvoh7ac91l']",-1
1979,"['icymi', 'declaração', 'conjunta', 'com', 'presidente', 'trump', 'e', 'primeiro', 'ministro', 'shinzo', 'abe', 'sobre', 'a', 'coréia', 'do', 'norte', 'httpstcom9w57gooli']",-1
1980,"['impedir', 'os', 'imigrantes', 'ilegais', 'é', 'meramente', 'cumprir', 'uma', 'promessa', 'da', 'minha', 'campanha', 'membros', 'de', 'gangues', 'traficantes', 'e', 'httpstcon6dyly90tz']",-1
1981,"['72', 'dos', 'refugiados', 'que', 'vieram', 'aos', 'eua', '32', 'à', '112', 'durante', 'o', 'imped', 'legal', 'são', 'de', '7', 'países', 'síria', 'iraque', 'somália', 'httpstco4psnemnlo0']",-1
1982,"['e', 'na', 'cnn', 'notícias', 'falsas', 'bernie', 'sanders', 'foi', 'tirado', 'do', 'ar', 'ao', 'descrevêlos', 'com', 'o', 'termo', 'notícias', 'falsas', 'alegaram', 'dif', 'httpstcoskxd4lu8jo']",-1
1983,"['após', 'dois', 'dias', 'de', 'conversas', 'muito', 'produtivas', 'o', 'primeiro', 'ministro', 'abe', 'está', 'voltando', 'ao', 'japão', 'httpstcovtfpwlnl4z']",-1
1984,"['conheço', 'bem', 'mark', 'cuban', 'ele', 'me', 'apoiou', 'muito', 'mas', 'não', 'quis', 'atender', 'todas', 'as', 'ligações', 'dele', 'ele', 'não', 'é', 'tão', 'bom', 'pra', 'se', 'httpstcofsj3epjnyp']",-1
1985,"['rt', 'altrightbr', 'foto', 'de', 'um', 'casamento', 'infantil', 'forçado', 'casamentos', 'infantis', 'são', 'comuns', 'no', 'oriente', 'médio', 'e', 'o', 'islamismo', 'apoia', 'isso', 'httpst']",-1
1986,"['acabei', 'de', 'ouvir', 'uma', 'cigana', 'dizer', 'q', 'os', 'chineses', 'são', 'um', 'povo', 'sujo', 'e', 'sem', 'higiene', 'q', 'vive', 'e', 'dorme', 'em', 'qualquer', 'lado', 'o', 'cliché', 'morreu', 'hj', 'às', '16h09']",1
1987,"['parabéns', 'a', 'stephen', 'miller', 'por', 'me', 'representar', 'esta', 'manhã', 'nos', 'vários', 'programas', 'matutinos', 'de', 'domingo', 'ótimo', 'trabalho', 'httpstcooub2u74rha']",-1
1988,"['danvilarj', 'perante', 'o', 'humor', 'há', 'sempre', 'lugar', 'a', 'um', 'sorriso', 'só', 'não', 'aprovo', 'a', 'ofensa', 'fácil']",-1
1989,"['ontem', 'no', 'intervalo', 'para', 'almoço', 'de', 'mais', 'uma', 'excelente', 'reunião', 'do', 'conselho', 'nacional', 'ambiente', 'de', 'alegria', 'e', 'ânimo', 'httpstco7au5anjj7o']",-1
1990,"['lugares', 'da', 'minha', 'pátria', 'câmara', 'de', 'lobos', 'ilha', 'da', 'madeira', 'httpstcolhvz0m1iid']",-1
1991,"['aviso', 'da', 'protecção', 'cívil', 'surto', 'de', 'cotovelite', 'em', 'moreira', 'de', 'cónegos']",-1
1992,"['o', 'movimento', 'vai', 'ter', 'gorda', 'na', 'praia', 'sim', 'parece', 'que', 'funcionou', 'httpstcokmwq2k20e6']",-1
1993,"['oautor', 'espero', 'que', 'ganhem', 'tenho', 'muitos', 'amigos', 'do', 'sporting', 'e', 'fica', 'difícil', 'falar', 'com', 'eles', 'com', 'uma', 'distância', 'de', '13', 'pontos']",-1
1994,"['mais', 'uma', 'da', 'guerreira', 'dianafigueredoo', 'ao', 'vivasso', 'receba', 'mandysant', 'httpstcor0zw1zskc7']",-1
1995,"['mário', 'centeno', 'não', 'se', 'portou', 'como', 'um', 'homenzinho', 'disse', 'marques', 'mendes', 'a', 'piada', 'está', 'feita']",-1
1996,"['cafagestes', 'de', 'faro', 'e', 'odemira', 'são', 'teotóniono', 'próximo', 'fdschegou', 'finalmente', 'a', 'vossa', 'vez', 'bilhetes', 'nos', 'sitíos', 'do', 'co', 'httpstcol2nnknmjih']",-1
1997,"['saindo', 'da', 'flórida', 'grande', 'multidão', 'de', 'entusiastas', 'fazendo', 'fila', 'na', 'estrada', 'o', 'que', 'a', 'mídia', 'de', 'notícias', 'falsas', 'se', 'recu', 'httpstcohifib5cgcu']",-1
1998,"['os', 'média', 'são', 'um', 'pilar', 'do', 'sistema', 'que', 'combatemos', 'deles', 'só', 'se', 'podemos', 'esperar', 'mentira', 'eou', 'omissão', 'fakenews', 'httpstcoq6badiuzlg']",-1
1999,"['boa', 'semana', 'para', 'todos', 'httpstcogyljkcpvf5']",-1
2000,"['senorthompson', 'se', 'aconteceu', 'não', 'sei', 'mas', 'eu', 'ouvi']",-1
2001,"['happiness1906', 'um', 'conselho', 'sapiente', 'bom', 'dia']",-1
2002,"['rt', 'ananiribeiro', 'boa', 'noite', 'httpstcooxzixyuqju']",-1
2003,"['senorthompson', 'eu', 'tive', 'um', 'galo', 'que', 'quando', 'ficava', 'azul', 'trazia', 'bom', 'tempo']",-1
2004,"['caramba', 'hein', 'agora', 'vai', 'httpstcotzrqjmvlau']",-1
2005,"['quem', 'é', 'mais', 'demente', 'essas', 'mães', 'ou', 'o', 'jornal', 'que', 'pública', 'uma', 'merda', 'dessas', 'httpstcoed0fd0ecuy']",-1
2006,"['realizouse', 'em', '11', 'de', 'fevereiro', 'a', 'primeira', 'reunião', 'ordinária', 'deste', 'ano', 'do', 'conselho', 'nacional', 'do', 'pnr', 'httpstco4xxpfwi5yd', 'portugal', 'pnr']",-1
2007,"['hoje', 'é', 'segundafeira', 'um', 'dia', 'como', 'outro', 'qualquer', 'mas', 'olha', 'que', 'é', 'dia', '13', 'não', 'sou', 'supersticioso', 'a', 'gasolina', 'voltou', 'a', 'aumentar', 'fodase']",-1
2008,"['aceitei', 'trocar', 'o', 'benfica', 'por', 'um', 'jantar', 'romântico', 'com', 'a', 'minha', 'namorada', 'desde', 'que', 'ela', 'pagasse', 'a', 'gasolina', 'amanhã', 'lá', 'estarei', 'na', 'catedral']",-1
2009,"['rt', 'idzabela', 'desde', 'o', 'taveira', 'que', 'não', 'se', 'via', 'tanta', 'violência', 'no', 'amoreiras']",-1
2010,"['netmane', 'como', 'diria', 'trump', 'califórnia', 'é', 'quase', 'méxico']",-1
2011,"['faz', 'esse', 'favor', 'pra', 'gente', 'bfhiago', 'httpstcoyfms3dd6q5']",-1
2012,"['segues', '2', 'mil', 'porcas', 'no', 'insta', 'sem', 'problema', 'metes', '1', 'gosto', 'na', 'foto', 'd', 'uma', 'colega', 'q', 'a', 'tua', 'namorada', 'n', 'conhece', 'e', 'ela', 'dá', 'início', 'à', '3ª', 'guerra', 'mundial']",3.3
2013,"['cobrar', 'quando', 'um', 'político', 'tá', 'fazendo', 'mau', 'uso', 'do', 'dinheiro', 'público', 'é', 'um', 'dever', 'de', 'qualquer', 'cidadão']",-1
2014,"['e', 'isso', 'independe', 'do', 'político']",-1
2015,"['rt', 'catarinamatos', 'feliz', 'dia', 'mundial', 'da', 'rádio', 'httpstcoxtnxti55qw']",-1
2016,"['e', 'eu', 'que', 'só', 'vi', 'agora', 'o', 'fato', 'que', 'o', 'ceelo', 'green', 'levou', 'ontem', 'aos', 'grammys', 'que', 'bonita', 'homenagem', 'que', 'ele', 'fez', 'httpstcour85cy99sb']",-1
2017,"['quando', 'repõem', 'a', 'estátua', 'de', 'dsebastião', 'na', 'estaçãorossio', 'consequências', 'para', 'o', 'selvagem', 'autor', 'do', 'vandalismo', 'fica', 't', 'httpstcovfjxgkap0d']",-1
2018,"['uma', 'análise', 'do', 'primeiro', 'livro', 'revelou', 'que', 'o', 'relacionamento', 'entre', 'christian', 'e', 'ana', 'se', 'caracteriza', 'como', 'violência', 'httpstcojj0hwxxkn3']",-1
2019,"['camaralisboa', 'boa', 'tarde', 'sei', 'que', 'a', 'tutela', 'é', 'das', 'infraestruturasportugal', 'mas', 'a', 'cml', 'não', 'tem', 'um', 'grande', 'peso', 'institucional', 'deve', 'pressionar']",-1
2020,"['receberei', 'hoje', 'o', 'pm', 'canadense', 'trudeau', 'e', 'um', 'grupo', 'de', 'empreendedoras', 'pra', 'discutir', 'mulheres', 'no', 'ambiente', 'corporativo', 'httpstcoxinpb5o7op']",-1
2021,"['vergonha', 'um', 'país', 'que', 'trata', 'assim', 'os', 'seus', 'filhos', 'mas', 'é', 'mãos', 'largas', 'com', 'os', 'que', 'vêm', 'de', 'fora', 'govpt', 'refugiadospt', 'httpstcocvdv85jrn8']",-1
2022,"['os', 'homens', 'são', 'todos', 'iguais', 'deixam', 'tudo', 'para', 'a', 'última', 'hora', 'o', 'dia', 'dos', 'namorados', 'é', 'já', 'amanhã', 'e', 'só', 'hoje', 'é', 'que', 'começaram', 'a', 'assaltar', 'relojoarias']",3.1
2023,"['bemvindo', 'a', 'whitehouse', 'casa', 'branca', 'primeiro', 'ministro', 'justintrudeau', 'httpstco7ldmcdwcj5']",-1
2024,"['reunião', 'maravilhosa', 'com', 'pm', 'canadense', 'justintrudeau', 'e', 'com', 'um', 'grupo', 'de', 'empresárias', 'líderes', 'do', 'canadá', 'e', 'dos', 'estados', 'httpstcoqyqopfmvdv']",-1
2025,"['escudo', 'acabou', 'há', '15', 'anos', 'mas', 'p', 'garantir', 'uma', 'boa', 'regulação', 'do', 'sist', 'bancário', 'o', 'banco', 'portugal', 'optou', 'por', 'manter', 'os', 'quase', '2', 'mil', 'funcionários']",-1
2026,"['tenho', 'uma', 'mensagem', 'para', 'os', 'pais', 'que', 'dão', 'grandes', 'mamos', 'de', 'boca', 'nos', 'filhos', 'em', 'locais', 'públicos', 'isso', 'é', 'nojento', 'parem', 'com', 'essa', 'merda']",-1
2027,"['rt', 'paisdoamaraljp', 'temos', 'na', 'assembleia', 'a', 'claque', 'mais', 'bem', 'paga', 'do', 'país', 'ordenados', 'milionários', 'para', 'fazerem', 'o', 'que', 'fazem', 'os', 'figurantes', 'na']",-1
2028,"['hipócritas', 'feministas', 'do', 'governo', 'da', 'suécia', 'corajosas', 'para', 'gozarem', 'com', 'trump', 'e', 'cobardes', 'submissas', 'perante', 'o', 'httpstcooy160tguju']",-1
2029,"['rt', 'berrador', 'hoje', 'para', 'muitos', 'é', 'dia', 'para', 'almoçar', 'com', 'a', 'amante', 'e', 'jantar', 'com', 'a', 'mulher', 'a', 'restauração', 'agradece']",-1
2030,"['alentejanod86', 'é', 'uma', 'questão', 'de', 'hábito']",-1
2031,"['alentejanod86', 'vamos', 'ficar', 'por', 'aqui', 'antes', 'que', 'fique', 'excitado']",-1
2032,"['alentejanod86', 'por', 'falar', 'em', 'abafar', 'sabes', 'se', 'o', 'jesus', 'janta', 'hoje', 'com', 'o', 'palhinha']",-1
2033,"['cientista', 'russo', 'diz', 'que', 'o', 'mundo', 'vai', 'acabar', 'dia', '16', 'de', 'fevereiro', 'sabem', 'quando', 'é', 'que', 'o', 'cavaco', 'lança', 'o', 'novo', 'livro', 'não', 'há', 'coincidências']",-1
2034,"['feliz', 'dia', 'de', 'são', 'valentim', 'httpstcouzj7ukts8l']",-1
2035,"['movimentos', 'antidilma', 'ahahahahahaha', 'é', 'tão', 'somente', 'qualquer', 'pessoa', 'sensata', 'e', 'baseada', 'em', 'números', 'aliás', 'a', 'httpstcosze7klude9']",-1
2036,"['parabéns', 'ao', 'secretário', 'do', 'tesouro', 'steven', 'mnuchin', 'icymi', 'assita', 'aqui', 'httpstco9nshszr8mr', 'httpstcowcz1lnx6ri']",-1
2037,"['parabéns', 'ao', 'nosso', 'novo', 'vasecretary', 'dr', 'david', 'shulkin', 'hora', 'de', 'cuidar', 'dos', 'veteranos', 'que', 'lutaram', 'para', 'proteger', 'nosso', 'httpstcowjauiaxpsz']",-1
2038,"['pnr', 'avança', 'com', 'candidatura', 'à', 'câmara', 'do', 'barreiro', 'com', 'josé', 'almeida', 'e', 'rpsantos1970', 'httpstcorjjbczdk4d']",-1
2039,"['rt', 'tonhodrinks', 'viram', 'o', 'jairbolsonaro', 'num', 'dos', 'programas', 'q', 'levaram', 'trump', 'até', 'a', 'presidência', 'httpstcoed3autuar0']",-1
2040,"['atraído', 'pelo', 'forte', 'cheiro', 'a', 'enxofre', 'passos', 'coelho', 'deslocouse', 'esta', 'manhã', 'a', 'setúbal', 'como', 'não', 'encontrou', 'o', 'diabo', 'vingouse', 'no', 'choco', 'frito']",-1
2041,"['rt', 'odecarvalho', 'derrubar', 'o', 'estatuto', 'do', 'desarmamento', 'será', 'a', 'maior', 'vitória', 'do', 'povo', 'brasileiro', 'ao', 'longo', 'de', 'toda', 'a', 'sua', 'história']",-1
2042,"['a', 'grande', 'questão', 'aqui', 'é', 'por', 'que', 'há', 'tantos', 'furos', 'ilegais', 'vindo', 'de', 'washington', 'haverão', 'estes', 'furos', 'quando', 'eu', 'negociar', 'httpstcovwfbjsbcor']",-1
2043,"['inacreditável', 'com', 'raras', 'exceções', 'essa', 'justiça', 'brasileira', 'é', 'uma', 'vergonha', 'httpstcopq0lksh76w']",-1
2044,"['rt', 'rachelsherazade', 'idiotas', 'inúteis', 'httpstco6s5w3rlyz1']",-1
2045,"['espero', 'os', 'maiores', 'sucessos', 'deste', 'encontro', 'realdonaldtrump', 'pnr', 'httpstcogfjbb8rphi']",-1
2046,"['aborto', 'é', 'crime', 'repugnante', 'contra', 'uma', 'vida', 'tão', 'frágil', 'e', 'indefesa', 'httpstcorswgu7ys2h']",-1
2047,"['estará', 'a', 'acabar', 'o', 'estado', 'de', 'graça', 'do', 'presidente', 'dos', 'afectos', 'tudo', 'tem', 'um', 'fim', 'certo', 'marcelorebellodesousa', 'httpstco4mbqlm8fxj']",-1
2048,"['fvicentedasilva', 'qq', 'dia', 'vendem', 'contato', 'gourmet']",-1
2049,"['tenho', 'pena', 'das', 'pessoas', 'que', 'gastaram', '150', 'euros', 'num', 'jantar', 'do', 'dia', 'dos', 'namorados', 'e', 'não', 'viram', 'esta', 'exibição', 'do', 'ederson', 'fodase', 'incrível']",-1
2050,"['rt', 'odedonafrida', 'senhor', 'o', 'que', 'sente', 'ao', 'ver', 'o', 'benfica', 'vencer', 'o', 'dortmund', 'depois', 'de', 'ter', 'perdido', 'duas', 'vezes', 'contra', 'eles', 'httpstco2mj1lf']",-1
2051,"['rt', 'noutracoisa', 'namoradas', 'que', 'hoje', 'não', 'queiram', 'sexo', 'em', 'vez', 'da', 'desculpa', 'da', 'dor', 'de', 'cabeça', 'vestem', 'uma', 'camisola', 'do', 'ederson', 'não', 'entra', 'nada']",3.3
2052,"['palavras', 'do', 'presidente', 'trump', 'na', 'assinatura', 'da', 'resolução', 'hj', '41', 'httpstcotlma3fk1un']",-1
2053,"['o', 'obamacare', 'continua', 'falhando', 'a', 'humana', 'sairá', 'em', '2018', 'iremos', 'revogar', 'substituir', 'e', 'recuperar', 'planos', 'de', 'saúde', 'para', 'httpstcoyqzu6btfds']",-1
2054,"['rt', 'jornalismowando', 'lembrando', 'que', 'este', 'homem', 'foi', 'recebido', 'pelo', 'governo', 'golpista', 'e', 'apresentou', 'suas', 'propostas', 'para', 'a', 'área', 'da', 'educação', 'https']",-1
2055,"['trump', 'vai', 'quebrar', 'os', 'eua', 'sqn', 'httpstcoeueiiker8a']",-1
2056,"['rt', 'ilisporg', '35', 'perguntas', 'que', 'gostaria', 'de', 'fazer', 'a', 'todos', 'os', 'integrantes', 'da', 'globonews', 'httpstcoe8nnqrk44l', 'httpstcomhkrep7qbr']",-1
2057,"['com', 'tantos', 'jornalistas', 'à', 'sua', 'volta', 'pinto', 'da', 'costa', 'já', 'nem', 'um', 'café', 'com', 'leite', 'pode', 'tomar', 'tranquilamente', 'em', 'guimarães']",-1
2058,"['tendo', 'em', 'conta', 'que', 'o', 'mundo', 'acaba', 'amanhã', 'recusome', 'a', 'pagar', 'o', 'iva', 'hoje', 'se', 'sobrevivermos', 'direi', 'ao', 'centeno', 'que', 'foi', 'um', 'erro', 'de', 'percepção', 'mútuo']",-1
2059,"['malta', 'de', 'lisboa', 'esta', 'é', 'para', 'vocês', 'já', 'restam', 'muito', 'poucos', 'bilhetes', 'para', 'o', 'show', 'de', '2ª', 'feira', 'dia', '20', 'apanhemnos', 'n', 'httpstcoeevmabbpeu']",-1
2060,"['pinto', 'da', 'costa', 'está', 'a', 'ser', 'julgado', 'num', 'quartel', 'd', 'bombeiros', 'pq', 'depois', 'de', 'lerem', 'o', 'livro', 'd', 'carolina', 'os', 'juízes', 'exigiram', 'uma', 'sala', 'ampla', 'e', 'arejada']",-1
2061,"['comigo', 'na', 'camaralisboa', 'isto', 'seria', 'impensável', 'islão', 'aqui', 'não', 'pela', 'identidade', 'portugal', 'e', 'os', 'portugueses', 'primeir', 'httpstco2npo2gy7a3']",5.1
2062,"['que', 'grande', 'palhaçada', 'o', 'nome', 'de', 'um', 'bandido', 'traidor', 'realmente', 'no', 'sistema', 'são', 'todos', 'amigalhaços', 'httpstcolpg87zeamy']",-1
2063,"['que', 'nojo', 'tenha', 'vergonha', 'de', 'tanta', 'sabujice', 'sr', 'presidente', 'marcelo', 'um', 'pulha', 'traidor', 'e', 'ladrão', 'para', 'baptizar', 'o', 'novo', 'httpstcoz7etmgrwol']",-1
2064,"['a', 'mídia', 'de', 'notícias', 'falsas', 'está', 'insana', 'com', 'suas', 'teorias', 'conspiratórias', 'e', 'ódio', 'cego', 'msnbc', 'cnn', 'são', 'inassistíveis', 'httpstcobin6yswuww']",-1
2065,"['ontem', 'fui', 'ver', 'o', 'benfica', 'foi', 'uma', 'grande', 'noite', 'até', 'ao', 'momento', 'em', 'que', 'tentei', 'entrar', 'em', 'casa', 'e', 'a', 'minha', 'mulher', 'decidiu', 'imitar', 'o', 'ederson']",-1
2066,"['aeroporto', 'mário', 'soares', 'só', 'faria', 'sentido', 'se', 'fosse', 'na', 'ota', 'ou', 'em', 'macau']",-1
2067,"['10', 'notícias', 'que', 'provam', 'o', 'quanto', 'o', 'feminismo', 'é', 'necessário', 'httpstco3mikqvlohl']",-1
2068,"['juntos', 'vamos', 'renovarportugal', 'a', 'hora', 'é', 'de', 'mudança', 'nacionalismo', 'é', 'solução', 'pnr', 'josépintocoelho', 'autárquicaspnr', 'httpstcod4pd6yqufn']",-1
2069,"['daninava', 'parabéns', 'obs', 'o', 'sentimento', 'de', 'bosta', 'independente', 'de', 'idade', 'mesmo']",-1
2070,"['e', 'quem', 'apoiou', 'o', 'governo', 'mais', 'corrupto', 'da', 'história', 'desse', 'país', 'não', 'é', 'idiota', 'é', 'inútil', 'parabéns', 'rachelsherazade', 'po', 'httpstcolqxvkfk9e8']",-1
2071,"['então', 'quer', 'dizer', 'que', 'pm', 'mata', 'e', 'juiz', 'reage', 'que', 'mídia', 'porca', 'httpstcot3rmagzuza']",-1
2072,"['estadao', 'camilapitanga', 'estou', 'com', 'rachelsherazade', 'são', 'idiotas', 'inúteis', 'mamadores', 'do', 'dinheiro', 'público', 'iludem', 'milhões', 'de', 'imbecis']",-1
2073,"['essa', 'coisa', 'sem', 'sentido', 'do', 'envolvimento', 'com', 'a', 'rússia', 'é', 'só', 'uma', 'tentativa', 'de', 'encobrir', 'os', 'erros', 'da', 'campanha', 'perdedora', 'd', 'httpstcoaeqkcuixpl']",-1
2074,"['inf', 'são', 'passadas', 'ilegalmente', 'ao', 'falido', 'nytimes', 'e', 'washingtonpost', 'pela', 'comunidade', 'de', 'inteligência', 'nsa', 'e', 'fbi', 'com', 'httpstcovjou7slrcr']",-1
2075,"['obrigado', 'eli', 'lake', 'do', 'bloombarg', 'view', 'nsa', 'e', 'fbinão', 'deveriam', 'interferir', 'em', 'nossa', 'políticae', 'é', 'uma', 'situação', 'mu', 'httpstcor2ymaxu1n2']",-1
2076,"['a', 'crimeia', 'foi', 'ocupada', 'pela', 'rússia', 'durante', 'o', 'governo', 'obama', 'será', 'que', 'obama', 'foi', 'muito', 'bonzinho', 'com', 'a', 'rússia', 'httpstcozqowsdle9r']",-1
2077,"['o', 'verdadeiro', 'escândalo', 'aqui', 'é', 'que', 'informações', 'confidenciais', 'são', 'passadas', 'ilegalmente', 'pela', 'inteligência', 'como', 'doce', 'httpstcoeltfjl04sy']",-1
2078,"['ótima', 'sessão', 'de', 'audiência', 'com', 'os', 'ceos', 'da', 'associação', 'de', 'líderes', 'da', 'indústria', 'de', 'varejo', 'esta', 'manhã', 'httpstcomlj6yjsnao']",-1
2079,"['rt', 'alexborges', 'vejam', 'a', 'participação', 'do', 'bolsonarosp', 'na', 'audiência', 'do', 'escola', 'sem', 'partido', 'parabéns', 'deu', 'show', 'httpstcohpjoo4iglq']",-1
