text,class
"Bastaram 4 anos pra ""mudança"" acontecer. https://t.co/09a2spa316",-1
Esse é o nível da turma que faz uma pessoa de bem ficar desempregada por não seguir o politicamente correto e apoia _ https://t.co/mVfQ9OKdFP,-1
@CanalHistory jamais. honro e prezo pelo meu país. Não quero que vire uma europa 2,-1
"RT @reaconaria: Para defender Jean Wyllys, FHC MENTE e esquece que MANDOU cassar Bolsonaro por chamar ministro de ladrão https://t.co/QTlY4 _",-1
@fvicentedasilva vai chover assim tanto no Allgarve?!,-1
@NetMane olhe que não. Eles sofrem metamorfoses e regressam sempre no dia seguinte escondidos num ovo.,-1
"Parabéns ao nosso novo Procurador Geral, @SenatorSessions! https://t.co/wmVgq4MGYf",-1
"O @JornalOGlobo ainda tem fé que vai funcionar! 
Acho que se colocar tb umas pombinhas brancas, aí os bandidos des _ https://t.co/ee8X1lbS0H",-1
"Preocupados com a espanholização da Banca? É mais provável haver concorrência entre um catalão e um cantabro, do que entre três angolanos...",-1
"Sen. Richard Blumenthal, que nunca lutou no Vietnã, e disse por anos que sim (grande mentira) agr distorce o que o _ https://t.co/ytHckJ8rNt",-1
"Chirs Cuomo, em sua entrevista com o Sen. Blumenthal nunca perguntou sobre a farsa do corajoso ""serviço"" dele no Vi _ https://t.co/qlk4K9ejWI",-1
"Este fim-de-semana a caravana vai andar por aqui:
- 10 Fev: VILA REAL
- 11 Fev: COVILHÂ
Bilhetes na FNAC,bilheteira _ https://t.co/C6ks5FIt96",-1
Sen. McCain não deveria falar sobre sucesso ou falha de uma missão na mídia. Apenas torna o inimigo mais forte! Ele _ https://t.co/qmocE7t9UG,-1
"...tanto tempo que não sabe mais como ganhar, apenas veja o caos que está o nosso país - preso em conflitos em todo _ https://t.co/u0UBstAgQd",-1
"..Ryan morreu numa missão vitoriosa (segundo General Mattis), não uma ""falha."" Hora dos EUA ficar esperto e começar _ https://t.co/AhggQQqt8m",-1
"11 dicas de como fazer – e manter - amizade com outra mulher
 https://t.co/UZPftQPubK",-1
"- Nossa, mas feminismo necessário hoje em dia? 
: https://t.co/UVPYCewlCp",-1
"O CDS avisou Centeno das ""consequências penais"" de mentir ao Parlamento. Mas está algum ex-deputado do CDS preso?!...",-1
"@Iago_ForaPt achei engraçado que ngm falou em direita aqui, mas vocês mesmo se entregam",-1
"Junte-se a nós no Salão Oval para o juramento do nosso novo Procurador Geral, @SenadorSessions! AO VIVO: _ https://t.co/zhJYCbrs5Y",-1
"RT @erickdau: Polícia militar acaba de dar tiro de pistola pra cima. Ninguém me contou, eu vi. https://t.co/ogbg21NlQ3",-1
"RT @erickdau: Como eu disse, eu vi. 
@PMERJ atirando com bala de verdade em manifestação. https://t.co/hH36zaxDtK",-1
"E se o Centeno acatasse o conselho do CDS, demitindo-se irrevogavelmente, para poder regressar como Vice-Primeiro-Ministro?...",-1
"@5gu não sou tua miga
E daí que são de 2013? Preconceito não é opinião pra mudar conforme o tempo passa. É algo puro e simples! Gordofóbico",-1
"@5gu @caiquepala Tinha que ser gorda, né?",3.3-8.3.1
@5gu Lá vem a gorda fazer chantagem emocional.,3.3-8.3.1
@5gu @caiquepala esse gordo pedante se sentindo,8.3
@5gu E gordo sente frio?,8.3
"@5gu @caiquepala AAAA, gorda do caralho.",3.3-8.3.1
TE VEJO NO TRIBUNAL. A SEGURANÇA DA NOSSA NAÇÃO ESTÁ EM JOGO! https://t.co/KJyKFc7fJz,-1
"Decide aí se a mídia é golpista ou não, porra! https://t.co/MhUVUgLCre",-1
"RT @thiagolv: Dica: antes de dar uma de politicamente correto nas redes sociais, vasculhe o seu passado, pq o @Justiceiro_Sujo acha mesmo v _",-1
RT @antonutchi: O @Justiceiro_Sujo apenas está mostrando que pagar de politicamente correto na internet é apenas uma MODINHA. Amo essa @,-1
RT @pai_marcola: Sigam o @Justiceiro_Sujo e acompanham a hipocrisia que faz parte da vidinha dos politicamente corretos.,-1
"RT @bernardocampana: O ""Guia Politicamente Incorreto da Filosofia"" do Pondé explica demais o trabalho do @Justiceiro_Sujo. Leiam!!",-1
RT @eloisioalmeida: @Justiceiro_Sujo Me mostre um patrulheiro(a) do politicamente correto e eu te mostro um hipócrita,-1
RT @benjaminruiz: @Justiceiro_Sujo eu diria que vcs atendem uma necessidade pública essencial: expor a hipocrisia do politicamente correto! _,-1
RT @EmmanuelaJacira: Amei esse @Justiceiro_Sujo. Tão provando como essa onda do politicamente correto é a maior farsa inventada nos últimos _,-1
RT @missnarcisista: Tô amando muito o perfil do @Justiceiro_Sujo. Expondo os justiceiros sociais politicamente corretos mas que na verdade _,-1
"RT @antonutchi: Porque o que mais tem é lobo em pele de cordeiro. Contra a hipocrisia, @justiceiro_sujo neles!",-1
"RT @SrBueno74: Deus perdoa
A Internet é impiedosa e não perdoa
Já o @Justiceiro_Sujo mostra a prova do crime",-1
"RT @MaxwellBaliza: @Justiceiro_Sujo Essa página é o melhor modo de se provar que essa ""justiça social"" não passa de uma modinha.",-1
"E quanto não poupará isso em danos sociais e em apoios a subsídio-dependentes?
Força @realDonaldTrump https://t.co/jauLX1SMq4",-1
"Constroem obstáculos dentro das nossas casas em vez de expulsarem a serpente islâmica. Vergonha! 
https://t.co/Nv1Iti6pdq",-1
"Precisamente: sem segurança não há liberdade!
@realDonaldTrump 
@FoxNews 
#pnr https://t.co/3qnmSeM2yj",-1
"Bom dia, companheiros! Como diria a Bárbara Guimarães, hoje, está um frio do Carrilho!",-1
Dureza viu... o Brasil não está no limbo à toa... https://t.co/fOucvO3rfl,-1
"Pois é... a maior e mais evidente farsa dos últimos anos, só não vê quem não quer. https://t.co/oPBN6BJcWT",-1
"É mesmo?? Caramba, achava que qdo um processo deles chegasse ao STF eles o abandonassem... #FolhaFakeNews https://t.co/nqOiwJ70dw",-1
Porque a bandidagem continua muito bem armada. https://t.co/51XKeRYFkf,-1
"PNR nas Eleições Autárquicas: ""uma lança na Margem Sul""!
#PNR #Barreiro @rpsantos1970 
https://t.co/wtzIKopblm https://t.co/2iUBbGh5qz",-1
"O retrato disso? A juventude atual, que vos mostro aqui todos os dias, a mesma presente nos protestos esquerdistas _ https://t.co/FqQxt1eviX",-1
"Também o Barreiro terá uma candidatura do PNR @rpsantos1970 https://t.co/QGSfThJw1x
#Barreiro #Portugal _ https://t.co/7LabEYTfIZ",-1
"Bora chuva de deslike? Esse lixo era assaltante, cantou uma música no camburão e ficou famoso. País lixo https://t.co/DADIDw6e60",-1
"O racismo da esquerda passando na sua tl. Esse pode, esse é politicamente correto, aí não tem protestos. Imagina se _ https://t.co/Yh5eBHEiN2",-1
"RT @pintomondim: A PSP interceptou o q julgavam ser um automóvel sem condutor em excesso de velocidade,apurou-se mais tarde q ao volante ia _",-1
"RT @carneiro_andre: Nunca, como agora, a produção literária nacional esteve tão activa.
Yronicamente https://t.co/ZcY0oMi1sU",-1
"GUERRA LEGAL: ""Notadamente, em toda opinião, o painel não se preocupou em citar este (o) estatuto."" Uma decisão des _ https://t.co/nvnk4KJ2pf",-1
"O falido @nytimes cria grande NOTÍCIA FALSA sobre a China dizendo  ""Sr. Xi não falou com Sr. Trump desde Nov. 14."" _ https://t.co/iBHOBjRlSr",-1
Começa pelo seu namorado @badgalerica https://t.co/yxAMLnkOhM,-1
Decididamente o Marques Mendes está a perder qualidades. Já nem a presença dos radares da PSP consegue adivinhar. SAD...,-1
Feministas ou sindicatos vão lá protestar?? https://t.co/ns1bcccmYO,-1
"@antoniocostapm 
Então, viva o PNR, certo, sr. Primeiro Ministro? :)",-1
"Após 10 anos de IVG (Interrupção Voluntária da Gravidez), os números de abortos diminuíram, e o índice de... https://t.co/Eh8jtfefYg",-1
"Depois de vender produtos ilegais o dia todo no centro do Rio, camelôzada se reúne pra queimar um no meio da rua: _ https://t.co/gtu7cntgBA",-1
"""Sei que posso dar mais"" disse Carrillo numa noite fria...",-1
A caminho da Base Militar Andrews com o Primeiro Ministro Shinzo hoje mais cedo. https://t.co/0YAUn4dMKJ,-1
"O jornalismo é um poder censório, manipulador, tendencioso e tantas vezes mentiroso. Afinal em que mundo vive a _ https://t.co/nTh0VR1qlE",-1
"@expresso @HenriquMonteiro 
Explicado?? Diria antes, deturpado e diabolizado. Como qualquer um que se insurja contra o sistema, é odiado.",-1
"A Europa, muito doente e submissa a estes espectáculos de mariquice nojenta, claro que se torna presa fácil do Islã _ https://t.co/BIAymMELN1",4.2.2@5.1
"O @gduvivier quer o fim da PM usando a mesma para a sua segurança.
Nessas horas a 'fascista' vira heroína!",-1
RT @__JDF: Hoje o talho do Mota não só não é vandalizado como ainda lá vai encontrar um porco e dois presuntos embrulhados em papel azul e _,-1
Parece que o Papa vai estar menos tempo em Portugal do que o Porto esteve em primeiro lugar...,-1
"Sistema legal falido! ""77% dos refugiados que entraram nos EUA desde o adiamento do veto são de 7 países suspeitos. _ https://t.co/nVSy7bwfC5",-1
"Estou lendo que o preço do grande MURO na fronteira custará mais do que o governo esperava inicialmente, mas eu ain _ https://t.co/EZwOmnq7UM",-1
"...negociações ou design. Quando eu me envolver, como no F-35 FighterJet ou no programa do Air Force One, o preço V _ https://t.co/MOpoCGWiyh",-1
"Melania e eu estamos recebendo o Primeiro Ministro japonês Shinzo Abe e a Sra. Abe em Mar-a-Lago em Palm Beach, Fl. _ https://t.co/pPk8M2UuR3",-1
O @gduvivier adora passar uma vergonha https://t.co/VL6Fv63JbD,-1
"Me divertindo muito enquanto hospedo o Primeiro Ministro Shinzo Abe nos Estados Unidos!
https://t.co/7yfRnjbAqU _ https://t.co/YwL0C0Y3hU",-1
"Peeps da Covilhã, o Anfiteatro da Parada na UBI já está pronto. Faltam vocês.
A pouca-vergonha começa às 22h00.
Bil _ https://t.co/zSTht9QCrP",-1
Estou tão orgulhoso da minha filha Ivanka. Abusada e maltratada pela mídia e ainda mantém a cabeça tão erguida: ver _ https://t.co/rLTZlmMxC7,-1
"Joguei golf hoje com o Primeiro Ministro do Japão, Abe, @TheBig_Easy e Ernie Els. Me diverti muito. O Japão está mu _ https://t.co/LT02RVmlqu",-1
Jantar de negócios a noite com o Primeiro Ministro do Japão Abe e seus representantes na Casa Branca de Inverno (Ma _ https://t.co/M9r9tl469m,-1
"RT @rpsantos1970: Ontem tivemos mais uma reunião do Conselho Nacional do PNR
#Portugal #Política #RogérioSantos #RenovarPortugal https://t. _",-1
AO VIVO Declaração Conjunta do Presidente Trump e Primeiro Ministro Shinzo Abe: https://t.co/O6BHXpb9WW https://t.co/lVoh7ac91l,-1
#ICYMI: Declaração Conjunta com Presidente Trump e Primeiro Ministro Shinzo Abe sobre a Coréia do Norte. https://t.co/m9W57gOoLi,-1
"Impedir os imigrantes ilegais é meramente cumprir uma promessa da minha campanha. Membros de gangues, traficantes e _ https://t.co/N6dylY90tZ",-1
"72% dos refugiados que vieram aos EUA (3/2 à 11/2) durante o IMPED. LEGAL são de 7 países: SÍRIA, IRAQUE, SOMÁLIA, _ https://t.co/4PsneMNlo0",-1
E na @CNN NOTÍCIAS FALSAS Bernie Sanders foi tirado do ar ao descrevê-los com o termo notícias falsas. Alegaram dif _ https://t.co/sKXd4lU8jo,-1
"Após dois dias de conversas muito produtivas, o Primeiro Ministro Abe está voltando ao Japão. https://t.co/VtFPWlnl4z",-1
"Conheço bem Mark Cuban. Ele me apoiou muito, mas não quis atender todas as ligações dele. Ele não é tão bom pra se _ https://t.co/fSJ3EpjnYP",-1
RT @AltRightBR: Foto de um casamento infantil forçado. Casamentos infantis são comuns no Oriente Médio e o islamismo apoia isso. https://t. _,-1
"Acabei de ouvir uma cigana dizer q ""os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado"".
O cliché morreu hj às 16h09",1-2.1.1
Parabéns a Stephen Miller por me representar esta manhã nos vários programas matutinos de domingo. Ótimo trabalho! https://t.co/oub2u74RHa,-1
"@danvilarj 
Perante o humor há sempre lugar a um sorriso. :)
Só não aprovo a ofensa fácil.",-1
"Ontem, no intervalo para almoço de mais uma excelente reunião do Conselho Nacional. Ambiente de alegria e ânimo. _ https://t.co/7Au5aNJJ7o",-1
"Lugares da minha Pátria.
Câmara de Lobos, Ilha da Madeira. https://t.co/LhVz0m1IiD",-1
"AVISO DA PROTECÇÃO CÍVIL:
Surto de cotovelite em Moreira de Cónegos",-1
O movimento 'Vai ter gorda na praia sim' parece que funcionou. https://t.co/kmwq2k20e6,-1
@oautor Espero que ganhem. Tenho muitos amigos do Sporting e fica difícil falar com eles com uma distância de 13 pontos,-1
Mais uma da guerreira @dianafigueredoo ao vivasso & receba @mandy_sant https://t.co/R0ZW1ZSkc7,-1
"""Mário Centeno não se portou como um homenzinho"" disse Marques Mendes. A piada está feita.",-1
"Cafagestes de Faro e Odemira (São Teotónio),no próximo fds,chegou finalmente a vossa vez.
Bilhetes nos sitíos do co _ https://t.co/l2NNkNmjIh",-1
"Saindo da Flórida. Grande multidão de entusiastas fazendo fila na estrada, o que a mídia de NOTÍCIAS FALSAS se recu _ https://t.co/HIFiB5cgcu",-1
"Os ""média"" são um pilar do sistema que combatemos. Deles só se podemos esperar mentira e/ou omissão.
#Fakenews _ https://t.co/Q6BaDIUZlG",-1
Boa semana para todos! https://t.co/GylJKCPVF5,-1
"@Senor_Thompson se aconteceu, não sei, mas eu ouvi...",-1
@happiness1906 um conselho sapiente. Bom dia!,-1
RT @AnaNiRibeiro: Boa noite https://t.co/oxzIXyUQJU,-1
@Senor_Thompson eu tive um galo que quando ficava azul trazia bom tempo.,-1
"Caramba hein, agora vai... https://t.co/tZrQjMvLaU",-1
"Quem é mais demente, essas mães ou o jornal que pública uma MERDA dessas? https://t.co/Ed0fd0eCUy",-1
"Realizou-se, em 11 de Fevereiro, a primeira reunião Ordinária deste ano, do Conselho Nacional do PNR.
https://t.co/4xXPfWi5Yd
#Portugal #PNR",-1
"""Hoje é segunda-feira."" Um dia como outro qualquer. ""Mas olha que é dia 13."" Não sou supersticioso. ""A gasolina voltou a aumentar"". Foda-se!",-1
"Aceitei trocar o Benfica por um jantar romântico com a minha namorada, desde que ela pagasse a gasolina. Amanhã, lá estarei na Catedral.",-1
RT @Idzabela: Desde o Taveira que não se via tanta violência no Amoreiras,-1
"@NetMane como diria Trump, Califórnia é  quase México...",-1
Faz esse favor pra gente @bfhiago https://t.co/YfMs3DD6Q5,-1
"Segues 2 mil porcas no Insta sem problema.
Metes 1 gosto na foto d uma colega q a tua namorada n conhece e ela dá início à 3ª Guerra Mundial",3.3
Cobrar quando um político tá fazendo mau uso do dinheiro público é um dever de qualquer cidadão,-1
E isso independe do político,-1
RT @catarinamatos: Feliz Dia Mundial da Rádio! https://t.co/xTnxtI55qW,-1
"E eu que só vi agora o fato que o CeeLo Green levou ontem aos Grammys?!
Que bonita homenagem que ele fez https://t.co/uR85Cy99sb",-1
"Quando repõem a estátua de D.Sebastião na #EstaçãoRossio?
Consequências para o selvagem autor do vandalismo?
Fica t _ https://t.co/vFjxGkAP0D",-1
Uma análise do primeiro livro revelou que o relacionamento entre Christian e Ana se caracteriza como violência... https://t.co/JJ0hWxxkN3,-1
"@CamaraLisboa 
Boa tarde. Sei que a tutela é das #InfraestruturasPortugal mas a CML não tem um grande peso institucional? Deve pressionar.",-1
Receberei hoje o PM Canadense Trudeau e um grupo de empreendedoras pra discutir mulheres no ambiente corporativo. _ https://t.co/xINpB5o7Op,-1
"Vergonha! Um país que trata assim os seus filhos mas é mãos largas com os que vêm de fora.
@govpt @Refugiados_Pt https://t.co/cVDv85jRn8",-1
"Os homens são todos iguais, deixam tudo para a última hora. O Dia dos Namorados é já amanhã e só hoje é que começaram a assaltar relojoarias",3.1
Bem-vindo a @WhiteHouse (Casa Branca) Primeiro Ministro @JustinTrudeau! https://t.co/7LDMCdwcj5,-1
Reunião maravilhosa com PM canadense @JustinTrudeau e com um grupo de empresárias líderes do Canadá e dos Estados _ https://t.co/QyqoPFMVdV,-1
"Escudo acabou há 15 anos mas, p/ garantir uma boa regulação do sist bancário, o Banco Portugal optou por manter os quase 2 mil funcionários",-1
"Tenho uma mensagem para os pais que dão grandes mamos de boca nos filhos em locais públicos:
ISSO É NOJENTO! PAREM COM ESSA MERDA!",-1
"RT @PaisdoAmaralJP: Temos na Assembleia a ""claque"" mais bem paga do país.
Ordenados milionários, para fazerem o que fazem os figurantes na _",-1
"Hipócritas feministas do governo da #Suécia. ""Corajosas"" para gozarem com #Trump e cobardes submissas perante o _ https://t.co/oY160TGujU",-1
RT @Berrador: Hoje para muitos é dia para almoçar com a amante e jantar com a mulher. A restauração agradece,-1
@AlentejanoD86 é uma questão de hábito,-1
@AlentejanoD86 vamos ficar por aqui antes que fique excitado.,-1
"@AlentejanoD86 por falar em abafar, sabes se o Jesus janta hoje com o Palhinha?",-1
Cientista russo diz que o Mundo vai acabar dia 16 de fevereiro. Sabem quando é que o Cavaco lança o novo livro? Não há coincidências...,-1
Feliz Dia de São Valentim https://t.co/uzJ7UKTS8l,-1
"""Movimentos anti-Dilma"", ahahahahahaha!!!!! 
É tão somente qualquer pessoa sensata e baseada em números. Aliás, a _ https://t.co/sZe7kLude9",-1
Parabéns ao Secretário do Tesouro Steven Mnuchin! #ICYMI - assita aqui: https://t.co/9nShSzr8mr https://t.co/WcZ1Lnx6rI,-1
Parabéns ao nosso novo #VASecretary Dr. David Shulkin. Hora de cuidar dos veteranos que lutaram para proteger nosso _ https://t.co/wjaUiaXpsZ,-1
"PNR avança com candidatura à Câmara do Barreiro, com José Almeida e  @rpsantos1970 https://t.co/RJJBCZdK4d",-1
"RT @TonhoDrinks: Viram o @jairbolsonaro  num dos programas q levaram Trump até a presidência? 
https://t.co/ED3AUtuaR0",-1
"Atraído pelo forte cheiro a enxofre, Passos Coelho deslocou-se esta manhã a Setúbal. Como não encontrou o Diabo, vingou-se no choco frito.",-1
RT @OdeCarvalho: Derrubar o Estatuto do Desarmamento será A MAIOR VITÓRIA DO POVO BRASILEIRO ao longo de toda a sua história.,-1
A grande questão aqui é por que há tantos furos ilegais vindo de Washington? Haverão estes furos quando eu negociar _ https://t.co/VWfbJSbcoR,-1
"Inacreditável... com raras exceções, essa justiça brasileira é uma VERGONHA!! https://t.co/PQ0LkSH76W",-1
RT @RachelSherazade: Idiotas inúteis! https://t.co/6s5w3rlYZ1,-1
"Espero os maiores sucessos deste encontro!
@realDonaldTrump 
#PNR https://t.co/gfJbB8rPhi",-1
Aborto é crime repugnante contra uma vida tão frágil e indefesa. https://t.co/rswGU7YS2H,-1
"Estará a acabar o ""estado de graça"" do presidente dos afectos?
Tudo tem um fim, certo?
#MarceloRebelloDeSousa https://t.co/4MBQlm8fxJ",-1
@fvicentedasilva qq dia vendem contato gourmet,-1
"Tenho pena das pessoas que gastaram 150 euros num jantar do Dia dos Namorados e não viram esta exibição do Ederson.
Foda-se. INCRÍVEL!",-1
"RT @odedonafrida: Senhor, o que sente ao ver o Benfica vencer o Dortmund, depois de ter perdido duas vezes contra eles? https://t.co/2MJ1Lf _",-1
RT @NoutraCoisa: Namoradas que hoje não queiram sexo em vez da desculpa da dor de cabeça vestem uma camisola do Ederson. Não entra nada.,3.3
Palavras do Presidente Trump na Assinatura da Resolução H.J. 41' https://t.co/TlMa3FK1Un,-1
"O Obamacare continua falhando. A Humana sairá em 2018. Iremos revogar, substituir e recuperar planos de saúde para _ https://t.co/YQzU6btFDs",-1
RT @JornalismoWando: Lembrando que este homem foi recebido pelo governo golpista e apresentou suas propostas para a área da Educação. https _,-1
"""Trump vai quebrar os EUA!"" #sqn https://t.co/eueIIkER8A",-1
RT @Ilisp_org: 35 perguntas que gostaria de fazer a todos os integrantes da GloboNews https://t.co/e8nnqrk44L https://t.co/mhKRep7qBR,-1
"Com tantos jornalistas à sua volta, Pinto da Costa já nem um café com leite pode tomar tranquilamente em Guimarães...",-1
"Tendo em conta que o Mundo acaba amanhã, recuso-me a pagar o IVA hoje. Se sobrevivermos direi ao Centeno que foi um erro de percepção mútuo.",-1
"Malta de LISBOA, esta é para vocês:
Já restam muito poucos bilhetes para o show de 2ª feira (dia 20).
Apanhem-nos n _ https://t.co/eEVmAbbpeu",-1
Pinto da Costa está a ser julgado num quartel d bombeiros pq depois de lerem o livro d Carolina os juízes exigiram uma sala ampla e arejada.,-1
"Comigo na @CamaraLisboa, isto seria impensável. Islão, aqui não! Pela Identidade: Portugal e os Portugueses primeir _ https://t.co/2nPO2gy7a3",5.1@7.1
"Que grande palhaçada! O nome de um bandido traidor?
Realmente no ""Sistema"" são todos amigalhaços. _ https://t.co/lPG87zEamy",-1
"Que nojo!
Tenha vergonha de tanta sabujice, sr. Presidente #Marcelo.
Um pulha traidor e ladrão para baptizar o novo _ https://t.co/z7etmGrwoL",-1
A mídia de notícias falsas está insana com suas teorias conspiratórias e ódio cego. @MSNBC & @CNN são inassistíveis _ https://t.co/biN6YswUWW,-1
"Ontem fui ver o Benfica. Foi uma grande noite, até ao momento em que tentei entrar em casa e a minha mulher decidiu imitar o Ederson...",-1
Aeroporto Mário Soares só faria sentido se fosse na Ota ou em Macau...,-1
10 notícias que provam o quanto o feminismo é necessário  https://t.co/3mIKQvLOHL,-1
"Juntos vamos #RenovarPortugal. A hora é de mudança. Nacionalismo é solução!
#PNR #JoséPintoCoelho #AutárquicasPNR https://t.co/d4pd6YQufN",-1
@daninava parabéns!  (obs: o sentimento de bosta independente de idade mesmo),-1
"E quem apoiou o governo MAIS CORRUPTO DA HISTÓRIA DESSE PAÍS não é idiota é inútil?? 
Parabéns @RachelSherazade po _ https://t.co/lqxvKfK9e8",-1
Então quer dizer que PM mata e juiz reage? Que mídia porca... https://t.co/T3rMagzuZA,-1
"@Estadao @CamilaPitanga estou com @RachelSherazade. são idiotas inúteis, mamadores do dinheiro público, iludem milhões de imbecis.",-1
Essa coisa sem sentido do envolvimento com a Rússia é só uma tentativa de encobrir os erros da campanha perdedora d _ https://t.co/AEqkCUiXPL,-1
Inf. são passadas ilegalmente ao falido @nytimes e @washingtonpost pela comunidade de inteligência (NSA e FBI). Com _ https://t.co/vjoU7slRCR,-1
"Obrigado Eli Lake do Bloombarg View - ""NSA e FBI...não deveriam interferir em nossa política...e é"" Uma situação mu _ https://t.co/R2YMaXu1N2",-1
A CRIMEIA foi ocupada pela Rússia durante o governo Obama. Será que Obama foi muito bonzinho com a Rússia? https://t.co/zQowSdLe9r,-1
"O verdadeiro escândalo aqui é que informações confidenciais são passadas ilegalmente pela ""inteligência"" como doce. _ https://t.co/EltFjl04sy",-1
Ótima sessão de audiência com os CEOs da Associação de Líderes da Indústria de Varejo esta manhã! https://t.co/MLJ6yjsNao,-1
RT @alex_borges: Vejam a participação do @BolsonaroSP na audiência do Escola Sem Partido. Parabéns. deu show! https://t.co/HPJoo4iglQ,-1
"RT @jromaoferreira: PSD e CDS querem os sms de Centeno até às 18h, caso não aconteça apresentam às 18.15h um candidato conjunto à Camara de _",-1
"-Odeio feministas só falam merda
-Vamos fazer o q?
-Perfis falsos zoando coisas q nunca disseramkkk
-KKKKMitou",3-6.1
FHC amigo do Lula pra implantar comunismo no Brasil Foro de São Paulo pra virar Venezuela https://t.co/CuZJH50Gyq,-1
"RT @schaianagrade: Se tem algo precioso neste mundo, este algo é o perfil @NAOKAHLO https://t.co/dYN1pRzTVx",-1
BELO LEGADO PETISTA! #sqn https://t.co/D3Ji6o3T2E,-1
"Um @jairbolsonaro incomoda muita gente.
Um @jairbolsonaro em 2º lugar nas pesquisas incomoda mt mais!
#BolsonaroPresidente #Bolsonaro2018",-1
Bem-vindo aos Estados Unidos @IsraeliPM Benjamin e Sara! #ICYMI Conferência de Imprensa Conjunta: _ https://t.co/J4EulrSr6v,-1
Junte-se a mim na Flórida este sábado-5pm pra um comício no Aeroporto Internacional de Orlando-Melbourne! Ingressos _ https://t.co/dMcrEBT2xX,-1
CEO da Aetna: O Obamacare está no 'Espiral da Morte' #RepealAndReplace https://t.co/Wx4xxMsIY5 https://t.co/RO3tnc2Qde,-1
"Mulheres do Rio, vamos aproximar as meninas da ciência? <3 
Inscrições online: https://t.co/TQVI99Qd53 https://t.co/gyahfEwjkR",-1
RT @numiweb: Também queremos ver os sms do Paulo Portas sobre o negócio dos submarinos,-1
"Nomes não faltam: vigaristas, corruptos, aldrabões, assassinos, vendidos, traidores, pedófilos, aberrações... _ https://t.co/r3eeCZ5d8S",-1
"Que texto maravilhoso 
https://t.co/0z6X2gevf6",-1
Eu honestamente me emocionei lendo. Vale a pena,-1
Bom dia companheiros! Alguém sabe a que horas chega o asteróide? É para  saber se ainda tenho tempo para comprar o livro das quintas-feiras.,-1
"""PREESCREVEM"" 
Esse é o nível de jornalismo do @JornalOGlobo !!! Inacreditável que alguém assine esse lixo! https://t.co/tt8dXVp17x",-1
"Barreiro também é uma terra portuguesa!
#Barreiro #Portugal #Soflusa https://t.co/DASvRiemIL",-1
"RT @PaisdoAmaralJP: A eleição de Trump trouxe ao mundo a intolerância: a dos seus opositores! 
#BE #PCP #Geringonça",-1
RT @vitormramalho: Tudo boa gente! Por estas e por outras é que estou no @pnr https://t.co/y2I91hIyMa,-1
"RT @jpintocoelho60: Nomes não faltam: vigaristas, corruptos, aldrabões, assassinos, vendidos, traidores, pedófilos, aberrações...
#25Abril _",-1
"A Venezuela deve tirar Leopoldo Lopez, prisioneiro político e marido de @liliantintori (me reuni  com @marcorubio) _ https://t.co/5egejnFWbx",-1
"Ameaça? Ridículo! Estão é mal habituados: podem dizer o que querem de nós, mas vêem ameaças onde elas não existem. _ https://t.co/M5vuWGJG1E",-1
"""Bate ao outro e não ao mesmo"" https://t.co/47O0NPX8uZ",-1
"RT @jpintocoelho60: Ameaça? Ridículo! Estão é mal habituados: podem dizer o que querem de nós, mas vêem ameaças onde elas não existem.
Que _",-1
Mercado de ações em nova alta. Maior número de ganhos em décadas. Grande nível de confiança e otimismo mesmo antes _ https://t.co/xre6DVcMEa,-1
@Lazarus605forte para esse é preferível o sulfato de cobre,-1
Furos e até mesmo furos confidenciais ilegais tem sido um problema em Washington há anos. O falido @nytimes (e outr _ https://t.co/wXKcxl4QXL,-1
A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos! https://t.co/lGSLTh3AKd,-1
"Quando acabarem de ler o novo livro do Cavaco, recomendo este! https://t.co/0ygA97b47V",-1
"Uau... agora ele vai chorar! 
Aliás, que galera democrática hein? Tipo aquela época em que você era da KGB... https://t.co/QZiIuC5PRK",-1
"Quando acabarem de ler o novo livro do Cavaco, recomendo também este! https://t.co/zr9lpFlyyS",-1
"Aparentemente, as 592 páginas do livro de Cavaco Silva contêm mais enxofre do que os armazéns da Sapec, em Setúbal...",-1
"Existem pessoas que ainda jogam ao ""Perguntados"" em 2017.
E ainda se admiram que o mundo vá acabar hoje",-1
@dieaug Não tinha espaço para palavra vazamentos. Contamos com a compreensão dos leitores ao usar a palavra furos. Agradecemos de vdd a msg!,-1
"Que eu saiba, condição básica pra comprar casa é ter dinheiro. E pra isso precisa trabalhar. Se ficar acampado aí n _ https://t.co/V8kdwCzAb8",-1
"A mídia de NOTÍCIAS FALSAS que inventa histórias e ""fontes"" é mais eficaz que os democratas desmoralizados - mas is _ https://t.co/9HbvTqEapk",-1
"Os democratas tinham que criar uma justificativa pela derrota nas eleições, então inventaram uma história - RÚSSIA. _ https://t.co/h8M5A5zwgk",-1
"RT @lfrancobastos: Próximo sábado (18 FEV) levo o meu solo de Stand-up ""Voz da Razão"" a PORTALEGRE!
Bilhetes: CAE Portalegre, Fnac ou 
htt _",-1
"10 de Junho Marcha da Nacionalidade
Partilhe e convide amigos!
#Portugal #OMundoAcabaAmanhaE #RenovarPortugal #PNR https://t.co/CNTAoDafrI",-1
Cavaco poderá não ter um amigo q lhe compre todos os livros mas teve uma Editora q anda há décadas a ser financiada por todos os portugueses,-1
